Event_Id,Investigation_Type,Accident_Number,Event_Date,City,State,County,State_FIPS,County_FIPS,Airport_Code,Airport_Name,Injury_Severity,Aircraft_Damage,Aircraft_Category,Registration_Number,Make,Model,Amateur_Built,Number_of_Engines,Engine_Type,FAR_Description,Schedule,Purpose_of_Flight,Air_Carrier,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_Phase_of_Flight,Report_Status,Publication_Date
20001212X23098 , Accident , CHI90FA131 , 05/20/1990 ,WILLOUGHBY HILL,OH,CUYAHOGA COUNTY ,39,035, CGF , CUYAHOGA COUNTY , Fatal(1) , Destroyed ,  , N4859W , ROCKWELL ,114, No ,1, Reciprocating ,  ,  , Personal ,  ,1,0,0,0, IMC , APPROACH , Probable Cause , 05/03/1993 
20180419X05335 , Accident , CEN18FA144 , 04/19/2018 ,Williamsburg,PA,BLAIR COUNTY,42,013, AOO , ALTOONA-BLAIR COUNTY , Fatal(2) , Destroyed , Airplane , N451TD , CIRRUS DESIGN CORP , SR22 , No ,  , Reciprocating , Part 91: General Aviation ,  , Personal ,  ,2,  ,  ,  , IMC , APPROACH , Preliminary , 04/23/2018 
20180416X11351 , Accident , CEN18FA143 , 04/16/2018 ,Warsaw,OH,COSHOCTON COUNTY,39,031,  , N/A , Fatal(2) , Substantial , Airplane , N9345Q , BEECH , G33 , No ,  ,  , Part 91: General Aviation ,  , Personal ,  ,2,  ,  ,  , VMC ,  , Preliminary , 04/24/2018 
20180416X75158 , Accident , ERA18FA127 , 04/15/2018 ,Crozet,VA,ALBEMARLE COUNTY,51,003,  , N/A , Fatal(1) , Destroyed , Airplane , N525P , CESSNA ,525, No ,2, Turbo Jet , Part 91: General Aviation ,  , Personal ,  ,1,  ,  ,  , IMC , CRUISE , Preliminary , 04/26/2018 
20180416X41835 , Accident , CEN18FA140 , 04/15/2018 ,Friona,TX,PARMER COUNTY,48,369, PVT , Hefner , Fatal(2) , Substantial , Airplane , N635DT , BORDIUK , CHALLENGER II , Yes ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,2,  ,  ,  , VMC , CRUISE , Preliminary , 04/25/2018 
20180410X32846 , Accident , WPR18FA119 , 04/09/2018 ,Scottsdale,AZ,MARICOPA COUNTY,04,013, SDL , SCOTTSDALE , Fatal(6) , Destroyed , Airplane , N9456P , PIPER , PA 24-260 , No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,6,  ,  ,  , VMC , TAKEOFF , Preliminary , 04/25/2018 
20180408X85603 , Accident , ERA18FA122 , 04/08/2018 ,Smethport,PA,MCKEAN COUNTY,42,083,  , N/A , Fatal(2) , Destroyed , Helicopter , N602BP , MD HELICOPTER ,600, No ,1, Turbo Shaft , Part 133: Rotorcraft Ext. Load ,  , Other Work Use ,  ,2,1,  ,  , VMC , MANEUVERING , Preliminary , 04/23/2018 
20180407X35303 , Accident , ANC18FA028 , 04/06/2018 ,Petaluma,CA,SONOMA COUNTY,06,097, O69 , PETALUMA MUNI , Fatal(1) , Destroyed , Airplane , N9133Z , MOONEY , M20J , No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,  ,  ,  , IMC , TAKEOFF , Preliminary , 04/17/2018 
20180404X13226 , Accident , ERA18FA120 , 04/04/2018 ,Daytona Beach,FL,VOLUSIA COUNTY,12,127, DAB , DAYTONA BEACH INTL , Fatal(2) , Destroyed , Airplane , N106ER , PIPER , PA28R , No ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,2,  ,  ,  , VMC , TAKEOFF , Preliminary , 04/16/2018 
20180403X00427 , Accident , CEN18FA132B , 04/02/2018 ,Marion,IN,GRANT COUNTY,18,053, MZZ , Marion Municipal Airport , Fatal(2) , Substantial , Airplane , N511AC , CESSNA , 525C , No ,  , Turbo Jet , Part 91: General Aviation ,  , Business ,  ,2,  ,  ,5, VMC , LANDING , Preliminary , 04/16/2018 
